※ 매월 말일자 통계 현황,,,,,,,
,,2022년02월,,,,,
행정기관코드,행정기관,총인구수,세대수,세대당 인구,남자 인구수,여자 인구수,남여 비율
4613035600,전라남도 여수시 화정면개도출장소,789,473,          1.67,399,390,          1.02
4613036000,전라남도 여수시 삼산면,"2,054","1,278",          1.61,"1,155",899,          1.28
4613051500,전라남도 여수시 동문동,"4,557","2,554",          1.78,"2,301","2,256",          1.02
4613053500,전라남도 여수시 한려동,"3,043","1,748",          1.74,"1,520","1,523",          1.00
4613057000,전라남도 여수시 중앙동,"4,220","2,311",          1.83,"2,116","2,104",          1.01
4613060000,전라남도 여수시 충무동,"3,844","2,187",          1.76,"1,972","1,872",          1.05
4613062500,전라남도 여수시 광림동,"5,919","3,191",          1.85,"3,067","2,852",          1.08
4613063500,전라남도 여수시 서강동,"3,588","1,866",          1.92,"1,764","1,824",          0.97
4613065500,전라남도 여수시 대교동,"5,200","2,982",          1.74,"2,623","2,577",          1.02
4613067000,전라남도 여수시 국동,"11,037","5,263",          2.10,"5,546","5,491",          1.01
4613068500,전라남도 여수시 월호동,"6,700","2,879",          2.33,"3,336","3,364",          0.99
4613070000,전라남도 여수시 여서동,"18,035","7,941",          2.27,"8,902","9,133",          0.97
4613071000,전라남도 여수시 문수동,"20,693","9,486",          2.18,"10,400","10,293",          1.01
4613073000,전라남도 여수시 미평동,"11,407","5,869",          1.94,"6,107","5,300",          1.15
4613074000,전라남도 여수시 둔덕동,"9,965","4,076",          2.44,"5,025","4,940",          1.02
4613076500,전라남도 여수시 만덕동,"10,425","4,495",          2.32,"5,243","5,182",          1.01
4613078000,전라남도 여수시 쌍봉동,"32,362","13,829",          2.34,"16,562","15,800",          1.05
4613079000,전라남도 여수시 시전동,"38,885","15,007",          2.59,"19,514","19,371",          1.01
4613080000,전라남도 여수시 여천동,"20,796","10,380",          2.00,"11,003","9,793",          1.12
4613081000,전라남도 여수시 주삼동,"8,039","3,124",          2.57,"4,115","3,924",          1.05
4613082000,전라남도 여수시 삼일동,"2,260","1,272",          1.78,"1,244","1,016",          1.22
