※ 매월 말일자 통계 현황,,,,,,,
,,2022년02월,,,,,
행정기관코드,행정기관,총인구수,세대수,세대당 인구,남자 인구수,여자 인구수,남여 비율
1100000000,서울특별시  ,"9,508,451","4,442,586",          2.14,"4,615,823","4,892,628",          0.94
1111000000,서울특별시 종로구 ,"144,575","73,763",          1.96,"70,092","74,483",          0.94
1111051500,서울특별시 종로구 청운효자동,"11,953","5,251",          2.28,"5,506","6,447",          0.85
1111053000,서울특별시 종로구 사직동,"9,362","4,680",          2.00,"4,188","5,174",          0.81
1111054000,서울특별시 종로구 삼청동,"2,441","1,227",          1.99,"1,169","1,272",          0.92
1111055000,서울특별시 종로구 부암동,"9,541","4,255",          2.24,"4,551","4,990",          0.91
1111056000,서울특별시 종로구 평창동,"18,132","7,498",          2.42,"8,453","9,679",          0.87
1111057000,서울특별시 종로구 무악동,"8,219","3,065",          2.68,"3,811","4,408",          0.86
1111058000,서울특별시 종로구 교남동,"10,020","4,447",          2.25,"4,602","5,418",          0.85
1111060000,서울특별시 종로구 가회동,"4,063","1,995",          2.04,"1,875","2,188",          0.86
1111061500,서울특별시 종로구 종로1.2.3.4가동,"7,238","5,287",          1.37,"4,284","2,954",          1.45
1111063000,서울특별시 종로구 종로5.6가동,"5,072","3,390",          1.50,"2,700","2,372",          1.14
1111064000,서울특별시 종로구 이화동,"7,247","4,353",          1.66,"3,443","3,804",          0.91
1111065000,서울특별시 종로구 혜화동,"16,409","9,257",          1.77,"7,899","8,510",          0.93
1111067000,서울특별시 종로구 창신제1동,"4,905","2,851",          1.72,"2,639","2,266",          1.16
1111068000,서울특별시 종로구 창신제2동,"7,875","4,052",          1.94,"4,068","3,807",          1.07
1111069000,서울특별시 종로구 창신제3동,"6,551","2,801",          2.34,"3,235","3,316",          0.98
1111070000,서울특별시 종로구 숭인제1동,"5,850","2,992",          1.96,"2,810","3,040",          0.92
1111071000,서울특별시 종로구 숭인제2동,"9,697","6,362",          1.52,"4,859","4,838",          1.00
1114000000,서울특별시 중구 ,"122,167","63,644",          1.92,"59,446","62,721",          0.95
1114052000,서울특별시 중구 소공동,"2,241","1,306",          1.72,"1,073","1,168",          0.92
1114054000,서울특별시 중구 회현동,"4,749","2,728",          1.74,"2,463","2,286",          1.08
1114055000,서울특별시 중구 명동,"2,869","1,542",          1.86,"1,254","1,615",          0.78
1114057000,서울특별시 중구 필동,"4,038","2,486",          1.62,"2,070","1,968",          1.05
1114058000,서울특별시 중구 장충동,"4,578","2,761",          1.66,"2,362","2,216",          1.07
1114059000,서울특별시 중구 광희동,"5,242","3,390",          1.55,"2,669","2,573",          1.04
1114060500,서울특별시 중구 을지로동,"1,753","1,362",          1.29,"1,061",692,          1.53
1114061500,서울특별시 중구 신당동,"7,659","4,754",          1.61,"3,763","3,896",          0.97
1114062500,서울특별시 중구 다산동,"13,760","6,907",          1.99,"6,687","7,073",          0.95
1114063500,서울특별시 중구 약수동,"16,668","7,844",          2.12,"7,727","8,941",          0.86
1114064500,서울특별시 중구 청구동,"13,531","6,302",          2.15,"6,419","7,112",          0.90
1114065000,서울특별시 중구 신당제5동,"10,326","5,379",          1.92,"5,030","5,296",          0.95
1114066500,서울특별시 중구 동화동,"10,206","4,073",          2.51,"4,925","5,281",          0.93
1114067000,서울특별시 중구 황학동,"12,590","7,151",          1.76,"6,000","6,590",          0.91
1114068000,서울특별시 중구 중림동,"11,957","5,659",          2.11,"5,943","6,014",          0.99
1117000000,서울특별시 용산구 ,"222,413","111,134",          2.00,"106,881","115,532",          0.93
1117051000,서울특별시 용산구 후암동,"16,809","8,474",          1.98,"8,207","8,602",          0.95
1117052000,서울특별시 용산구 용산2가동,"9,443","5,255",          1.80,"4,564","4,879",          0.94
1117053000,서울특별시 용산구 남영동,"7,362","5,202",          1.42,"4,475","2,887",          1.55
1117055500,서울특별시 용산구 청파동,"19,458","11,157",          1.74,"9,082","10,376",          0.88
1117056000,서울특별시 용산구 원효로제1동,"16,011","8,194",          1.95,"7,585","8,426",          0.90
1117057000,서울특별시 용산구 원효로제2동,"13,720","6,032",          2.27,"6,462","7,258",          0.89
1117058000,서울특별시 용산구 효창동,"10,025","4,384",          2.29,"4,759","5,266",          0.90
1117059000,서울특별시 용산구 용문동,"11,833","5,394",          2.19,"5,657","6,176",          0.92
1117062500,서울특별시 용산구 한강로동,"21,685","11,669",          1.86,"10,304","11,381",          0.91
1117063000,서울특별시 용산구 이촌제1동,"25,785","9,541",          2.70,"12,077","13,708",          0.88
1117064000,서울특별시 용산구 이촌제2동,"8,244","3,681",          2.24,"3,857","4,387",          0.88
1117065000,서울특별시 용산구 이태원제1동,"6,363","3,606",          1.76,"3,099","3,264",          0.95
1117066000,서울특별시 용산구 이태원제2동,"8,946","4,923",          1.82,"4,097","4,849",          0.84
1117068500,서울특별시 용산구 한남동,"20,302","10,912",          1.86,"9,775","10,527",          0.93
1117069000,서울특별시 용산구 서빙고동,"13,032","5,306",          2.46,"6,223","6,809",          0.91
1117070000,서울특별시 용산구 보광동,"13,395","7,404",          1.81,"6,658","6,737",          0.99
1120000000,서울특별시 성동구 ,"285,137","134,286",          2.12,"138,866","146,271",          0.95
1120052000,서울특별시 성동구 왕십리제2동,"16,446","7,412",          2.22,"7,934","8,512",          0.93
1120053500,서울특별시 성동구 왕십리도선동,"26,446","11,962",          2.21,"12,534","13,912",          0.90
1120054000,서울특별시 성동구 마장동,"22,333","11,010",          2.03,"10,998","11,335",          0.97
1120055000,서울특별시 성동구 사근동,"11,867","7,932",          1.50,"6,153","5,714",          1.08
1120056000,서울특별시 성동구 행당제1동,"13,936","6,514",          2.14,"6,690","7,246",          0.92
1120057000,서울특별시 성동구 행당제2동,"23,203","9,220",          2.52,"10,867","12,336",          0.88
1120058000,서울특별시 성동구 응봉동,"15,331","6,044",          2.54,"7,308","8,023",          0.91
1120059000,서울특별시 성동구 금호1가동,"15,183","6,543",          2.32,"7,222","7,961",          0.91
1120061500,서울특별시 성동구 금호2.3가동,"22,658","10,128",          2.24,"10,770","11,888",          0.91
1120062000,서울특별시 성동구 금호4가동,"14,297","6,356",          2.25,"6,789","7,508",          0.90
1120064500,서울특별시 성동구 옥수동,"25,885","10,869",          2.38,"12,048","13,837",          0.87
1120065000,서울특별시 성동구 성수1가제1동,"16,491","7,782",          2.12,"8,234","8,257",          1.00
1120066000,서울특별시 성동구 성수1가제2동,"12,509","6,122",          2.04,"6,137","6,372",          0.96
1120067000,서울특별시 성동구 성수2가제1동,"15,746","8,147",          1.93,"8,231","7,515",          1.10
1120069000,서울특별시 성동구 성수2가제3동,"10,731","5,563",          1.93,"5,391","5,340",          1.01
1120072000,서울특별시 성동구 송정동,"10,509","5,623",          1.87,"5,541","4,968",          1.12
1120079000,서울특별시 성동구 용답동,"11,566","7,059",          1.64,"6,019","5,547",          1.09
1121500000,서울특별시 광진구 ,"340,494","168,975",          2.02,"164,226","176,268",          0.93
1121571000,서울특별시 광진구 화양동,"23,527","18,170",          1.29,"11,227","12,300",          0.91
1121573000,서울특별시 광진구 군자동,"19,535","11,368",          1.72,"9,653","9,882",          0.98
1121574000,서울특별시 광진구 중곡제1동,"15,447","8,377",          1.84,"7,486","7,961",          0.94
1121575000,서울특별시 광진구 중곡제2동,"21,401","10,663",          2.01,"10,092","11,309",          0.89
1121576000,서울특별시 광진구 중곡제3동,"16,076","8,472",          1.90,"7,971","8,105",          0.98
1121577000,서울특별시 광진구 중곡제4동,"28,509","13,197",          2.16,"13,948","14,561",          0.96
1121578000,서울특별시 광진구 능동,"11,269","6,417",          1.76,"5,193","6,076",          0.85
1121581000,서울특별시 광진구 광장동,"34,593","11,906",          2.91,"16,749","17,844",          0.94
1121582000,서울특별시 광진구 자양제1동,"22,217","11,937",          1.86,"10,777","11,440",          0.94
1121583000,서울특별시 광진구 자양제2동,"24,537","11,011",          2.23,"11,875","12,662",          0.94
1121584000,서울특별시 광진구 자양제3동,"27,904","11,105",          2.51,"13,341","14,563",          0.92
1121584700,서울특별시 광진구 자양제4동,"17,957","10,032",          1.79,"8,948","9,009",          0.99
1121585000,서울특별시 광진구 구의제1동,"22,477","12,568",          1.79,"10,678","11,799",          0.90
1121586000,서울특별시 광진구 구의제2동,"26,463","11,580",          2.29,"12,779","13,684",          0.93
1121587000,서울특별시 광진구 구의제3동,"28,582","12,172",          2.35,"13,509","15,073",          0.90
1123000000,서울특별시 동대문구 ,"337,881","169,211",          2.00,"166,852","171,029",          0.98
1123053600,서울특별시 동대문구 용신동,"32,355","19,332",          1.67,"16,210","16,145",          1.00
1123054500,서울특별시 동대문구 제기동,"24,609","13,501",          1.82,"12,626","11,983",          1.05
1123056000,서울특별시 동대문구 전농제1동,"29,132","14,891",          1.96,"14,600","14,532",          1.00
1123057000,서울특별시 동대문구 전농제2동,"18,461","7,629",          2.42,"8,873","9,588",          0.93
1123060000,서울특별시 동대문구 답십리제1동,"28,992","13,143",          2.21,"13,975","15,017",          0.93
1123061000,서울특별시 동대문구 답십리제2동,"28,180","12,628",          2.23,"13,716","14,464",          0.95
1123065000,서울특별시 동대문구 장안제1동,"38,225","18,459",          2.07,"18,909","19,316",          0.98
1123066000,서울특별시 동대문구 장안제2동,"32,475","14,072",          2.31,"16,191","16,284",          0.99
1123070500,서울특별시 동대문구 청량리동,"18,760","9,667",          1.94,"9,326","9,434",          0.99
1123071000,서울특별시 동대문구 회기동,"10,513","6,608",          1.59,"5,042","5,471",          0.92
1123072000,서울특별시 동대문구 휘경제1동,"14,004","7,731",          1.81,"6,658","7,346",          0.91
1123073000,서울특별시 동대문구 휘경제2동,"24,143","12,202",          1.98,"12,076","12,067",          1.00
1123074000,서울특별시 동대문구 이문제1동,"18,064","10,577",          1.71,"9,012","9,052",          1.00
1123075000,서울특별시 동대문구 이문제2동,"19,968","8,771",          2.28,"9,638","10,330",          0.93
1126000000,서울특별시 중랑구 ,"388,606","187,004",          2.08,"191,682","196,924",          0.97
1126052000,서울특별시 중랑구 면목제2동,"24,070","12,245",          1.97,"12,003","12,067",          0.99
1126054000,서울특별시 중랑구 면목제4동,"18,968","9,132",          2.08,"9,448","9,520",          0.99
1126055000,서울특별시 중랑구 면목제5동,"14,842","6,471",          2.29,"7,469","7,373",          1.01
1126056500,서울특별시 중랑구 면목본동,"33,409","17,695",          1.89,"16,555","16,854",          0.98
1126057000,서울특별시 중랑구 면목제7동,"21,760","10,601",          2.05,"10,914","10,846",          1.01
1126057500,서울특별시 중랑구 면목제3.8동,"24,607","12,659",          1.94,"12,204","12,403",          0.98
1126058000,서울특별시 중랑구 상봉제1동,"23,947","10,248",          2.34,"11,656","12,291",          0.95
1126059000,서울특별시 중랑구 상봉제2동,"20,241","12,256",          1.65,"9,776","10,465",          0.93
1126060000,서울특별시 중랑구 중화제1동,"19,555","9,093",          2.15,"9,586","9,969",          0.96
1126061000,서울특별시 중랑구 중화제2동,"24,868","13,633",          1.82,"12,780","12,088",          1.06
1126062000,서울특별시 중랑구 묵제1동,"34,479","15,004",          2.30,"16,607","17,872",          0.93
1126063000,서울특별시 중랑구 묵제2동,"18,662","9,272",          2.01,"9,154","9,508",          0.96
1126065500,서울특별시 중랑구 망우본동,"34,160","16,669",          2.05,"17,050","17,110",          1.00
1126066000,서울특별시 중랑구 망우제3동,"16,292","8,232",          1.98,"8,194","8,098",          1.01
1126068000,서울특별시 중랑구 신내1동,"38,482","14,794",          2.60,"18,637","19,845",          0.94
1126069000,서울특별시 중랑구 신내2동,"20,264","9,000",          2.25,"9,649","10,615",          0.91
1129000000,서울특별시 성북구 ,"431,892","196,281",          2.20,"208,211","223,681",          0.93
1129052500,서울특별시 성북구 성북동,"16,503","8,237",          2.00,"7,714","8,789",          0.88
1129055500,서울특별시 성북구 삼선동,"22,879","11,582",          1.98,"10,908","11,971",          0.91
1129057500,서울특별시 성북구 동선동,"15,433","9,568",          1.61,"6,491","8,942",          0.73
1129058000,서울특별시 성북구 돈암제1동,"14,631","6,105",          2.40,"6,833","7,798",          0.88
1129059000,서울특별시 성북구 돈암제2동,"23,742","8,576",          2.77,"11,248","12,494",          0.90
1129060000,서울특별시 성북구 안암동,"15,065","9,557",          1.58,"7,606","7,459",          1.02
1129061000,서울특별시 성북구 보문동,"15,403","7,768",          1.98,"7,410","7,993",          0.93
1129062000,서울특별시 성북구 정릉제1동,"18,111","7,365",          2.46,"8,708","9,403",          0.93
1129063000,서울특별시 성북구 정릉제2동,"22,962","9,907",          2.32,"11,101","11,861",          0.94
1129064000,서울특별시 성북구 정릉제3동,"15,174","8,011",          1.89,"7,553","7,621",          0.99
1129065000,서울특별시 성북구 정릉제4동,"24,784","10,880",          2.28,"11,949","12,835",          0.93
1129066000,서울특별시 성북구 길음제1동,"35,240","12,504",          2.82,"16,715","18,525",          0.90
1129068500,서울특별시 성북구 길음제2동,"18,913","7,660",          2.47,"9,121","9,792",          0.93
1129070500,서울특별시 성북구 종암동,"38,628","17,164",          2.25,"19,159","19,469",          0.98
1129071500,서울특별시 성북구 월곡제1동,"26,250","10,857",          2.42,"12,659","13,591",          0.93
1129072500,서울특별시 성북구 월곡제2동,"19,411","9,647",          2.01,"9,350","10,061",          0.93
1129076000,서울특별시 성북구 장위제1동,"24,253","10,774",          2.25,"11,857","12,396",          0.96
1129077000,서울특별시 성북구 장위제2동,"13,714","6,719",          2.04,"6,770","6,944",          0.97
1129078000,서울특별시 성북구 장위제3동,"15,747","6,469",          2.43,"7,738","8,009",          0.97
1129081000,서울특별시 성북구 석관동,"35,049","16,931",          2.07,"17,321","17,728",          0.98
1130500000,서울특별시 강북구 ,"298,074","144,658",          2.06,"145,066","153,008",          0.95
1130553400,서울특별시 강북구 삼양동,"23,510","11,111",          2.12,"11,744","11,766",          1.00
1130553500,서울특별시 강북구 미아동,"21,440","11,682",          1.84,"10,300","11,140",          0.92
1130554500,서울특별시 강북구 송중동,"29,411","13,974",          2.10,"14,154","15,257",          0.93
1130555500,서울특별시 강북구 송천동,"26,194","13,518",          1.94,"12,987","13,207",          0.98
1130557500,서울특별시 강북구 삼각산동,"31,145","11,535",          2.70,"14,947","16,198",          0.92
1130559500,서울특별시 강북구 번1동,"18,363","10,323",          1.78,"9,282","9,081",          1.02
1130560300,서울특별시 강북구 번2동,"15,713","7,588",          2.07,"7,594","8,119",          0.94
1130560800,서울특별시 강북구 번3동,"16,750","7,472",          2.24,"7,837","8,913",          0.88
1130561500,서울특별시 강북구 수유1동,"20,594","10,461",          1.97,"10,150","10,444",          0.97
1130562500,서울특별시 강북구 수유2동,"21,205","9,875",          2.15,"10,112","11,093",          0.91
1130563500,서울특별시 강북구 수유3동,"23,024","13,065",          1.76,"11,451","11,573",          0.99
1130564500,서울특별시 강북구 우이동,"20,465","9,619",          2.13,"9,892","10,573",          0.94
1130566000,서울특별시 강북구 인수동,"30,260","14,435",          2.10,"14,616","15,644",          0.93
1132000000,서울특별시 도봉구 ,"316,631","138,748",          2.28,"154,046","162,585",          0.95
1132051100,서울특별시 도봉구 창제1동,"24,627","10,964",          2.25,"11,694","12,933",          0.90
1132051200,서울특별시 도봉구 창제2동,"29,035","12,629",          2.30,"14,142","14,893",          0.95
1132051300,서울특별시 도봉구 창제3동,"13,821","6,556",          2.11,"6,920","6,901",          1.00
1132051400,서울특별시 도봉구 창제4동,"26,442","10,691",          2.47,"12,709","13,733",          0.93
1132051500,서울특별시 도봉구 창제5동,"24,509","10,228",          2.40,"11,687","12,822",          0.91
1132052100,서울특별시 도봉구 도봉제1동,"20,984","10,382",          2.02,"10,588","10,396",          1.02
1132052200,서울특별시 도봉구 도봉제2동,"26,709","11,844",          2.26,"13,046","13,663",          0.95
1132066000,서울특별시 도봉구 쌍문제1동,"21,356","9,418",          2.27,"10,270","11,086",          0.93
1132067000,서울특별시 도봉구 쌍문제2동,"18,676","8,594",          2.17,"8,921","9,755",          0.91
1132068000,서울특별시 도봉구 쌍문제3동,"16,648","7,918",          2.10,"8,059","8,589",          0.94
1132068100,서울특별시 도봉구 쌍문제4동,"18,585","7,121",          2.61,"8,776","9,809",          0.89
1132069000,서울특별시 도봉구 방학제1동,"28,670","13,005",          2.20,"14,250","14,420",          0.99
1132070000,서울특별시 도봉구 방학제2동,"19,612","9,414",          2.08,"9,913","9,699",          1.02
1132071000,서울특별시 도봉구 방학제3동,"26,957","9,984",          2.70,"13,071","13,886",          0.94
1135000000,서울특별시 노원구 ,"510,527","218,249",          2.34,"245,744","264,783",          0.93
1135056000,서울특별시 노원구 월계1동,"21,584","10,274",          2.10,"11,175","10,409",          1.07
1135057000,서울특별시 노원구 월계2동,"26,494","11,924",          2.22,"12,745","13,749",          0.93
1135058000,서울특별시 노원구 월계3동,"29,693","12,967",          2.29,"14,165","15,528",          0.91
1135059500,서울특별시 노원구 공릉1동,"36,710","18,430",          1.99,"17,855","18,855",          0.95
1135060000,서울특별시 노원구 공릉2동,"41,592","17,556",          2.37,"20,276","21,316",          0.95
1135061100,서울특별시 노원구 하계1동,"26,627","11,733",          2.27,"12,754","13,873",          0.92
1135061200,서울특별시 노원구 하계2동,"21,855","8,200",          2.67,"10,412","11,443",          0.91
1135061900,서울특별시 노원구 중계본동,"23,890","8,388",          2.85,"11,617","12,273",          0.95
1135062100,서울특별시 노원구 중계1동,"26,711","8,959",          2.98,"13,000","13,711",          0.95
1135062400,서울특별시 노원구 중계4동,"19,844","8,332",          2.38,"9,539","10,305",          0.93
1135062500,서울특별시 노원구 중계2.3동,"33,972","15,239",          2.23,"15,583","18,389",          0.85
1135063000,서울특별시 노원구 상계1동,"37,927","15,592",          2.43,"18,339","19,588",          0.94
1135064000,서울특별시 노원구 상계2동,"19,921","8,656",          2.30,"9,835","10,086",          0.98
1135066500,서울특별시 노원구 상계3.4동,"25,987","11,969",          2.17,"12,941","13,046",          0.99
1135067000,서울특별시 노원구 상계5동,"23,856","10,924",          2.18,"11,565","12,291",          0.94
1135069500,서울특별시 노원구 상계6.7동,"32,525","13,900",          2.34,"15,016","17,509",          0.86
1135070000,서울특별시 노원구 상계8동,"22,401","9,201",          2.43,"10,715","11,686",          0.92
1135071000,서울특별시 노원구 상계9동,"20,345","8,366",          2.43,"9,601","10,744",          0.89
1135072000,서울특별시 노원구 상계10동,"18,593","7,639",          2.43,"8,611","9,982",          0.86
1138000000,서울특별시 은평구 ,"472,640","215,001",          2.20,"225,941","246,699",          0.92
1138051000,서울특별시 은평구 녹번동,"36,750","17,602",          2.09,"17,400","19,350",          0.90
1138052000,서울특별시 은평구 불광제1동,"38,420","17,770",          2.16,"18,119","20,301",          0.89
1138053000,서울특별시 은평구 불광제2동,"27,481","14,030",          1.96,"13,295","14,186",          0.94
1138055100,서울특별시 은평구 갈현제1동,"21,650","10,724",          2.02,"10,584","11,066",          0.96
1138055200,서울특별시 은평구 갈현제2동,"28,202","12,660",          2.23,"13,360","14,842",          0.90
1138056000,서울특별시 은평구 구산동,"32,129","13,317",          2.41,"15,738","16,391",          0.96
1138057000,서울특별시 은평구 대조동,"26,861","14,582",          1.84,"12,458","14,403",          0.86
1138058000,서울특별시 은평구 응암제1동,"32,994","14,974",          2.20,"15,617","17,377",          0.90
1138059000,서울특별시 은평구 응암제2동,"28,016","11,304",          2.48,"13,587","14,429",          0.94
1138060000,서울특별시 은평구 응암제3동,"24,281","12,529",          1.94,"11,799","12,482",          0.95
1138062500,서울특별시 은평구 역촌동,"45,280","20,883",          2.17,"21,258","24,022",          0.88
1138063100,서울특별시 은평구 신사제1동,"26,993","11,903",          2.27,"12,989","14,004",          0.93
1138063200,서울특별시 은평구 신사제2동,"20,112","8,935",          2.25,"10,025","10,087",          0.99
1138064000,서울특별시 은평구 증산동,"14,858","6,763",          2.20,"7,242","7,616",          0.95
1138065000,서울특별시 은평구 수색동,"13,095","5,507",          2.38,"6,435","6,660",          0.97
1138069000,서울특별시 은평구 진관동,"55,518","21,518",          2.58,"26,035","29,483",          0.88
1141000000,서울특별시 서대문구 ,"305,793","144,717",          2.11,"146,045","159,748",          0.91
1141052000,서울특별시 서대문구 천연동,"17,021","7,740",          2.20,"8,068","8,953",          0.90
1141055500,서울특별시 서대문구 북아현동,"15,824","7,186",          2.20,"7,597","8,227",          0.92
1141056500,서울특별시 서대문구 충현동,"20,333","10,301",          1.97,"9,786","10,547",          0.93
1141058500,서울특별시 서대문구 신촌동,"20,009","14,333",          1.40,"8,858","11,151",          0.79
1141061500,서울특별시 서대문구 연희동,"34,862","18,617",          1.87,"16,689","18,173",          0.92
1141062000,서울특별시 서대문구 홍제제1동,"23,520","10,384",          2.27,"11,013","12,507",          0.88
1141064000,서울특별시 서대문구 홍제제3동,"16,972","7,718",          2.20,"8,168","8,804",          0.93
1141065500,서울특별시 서대문구 홍제제2동,"13,607","5,779",          2.35,"6,405","7,202",          0.89
1141066000,서울특별시 서대문구 홍은제1동,"22,695","9,804",          2.31,"10,965","11,730",          0.93
1141068500,서울특별시 서대문구 홍은제2동,"26,436","12,343",          2.14,"12,753","13,683",          0.93
1141069000,서울특별시 서대문구 남가좌제1동,"15,401","5,666",          2.72,"7,379","8,022",          0.92
1141070000,서울특별시 서대문구 남가좌제2동,"29,734","13,352",          2.23,"14,349","15,385",          0.93
1141071000,서울특별시 서대문구 북가좌제1동,"17,899","6,885",          2.60,"8,616","9,283",          0.93
1141072000,서울특별시 서대문구 북가좌제2동,"31,480","14,609",          2.15,"15,399","16,081",          0.96
1144000000,서울특별시 마포구 ,"368,560","180,457",          2.04,"173,282","195,278",          0.89
1144055500,서울특별시 마포구 아현동,"25,142","10,412",          2.41,"11,794","13,348",          0.88
1144056500,서울특별시 마포구 공덕동,"37,186","18,581",          2.00,"17,484","19,702",          0.89
1144058500,서울특별시 마포구 도화동,"21,072","9,299",          2.27,"10,047","11,025",          0.91
1144059000,서울특별시 마포구 용강동,"21,607","9,381",          2.30,"10,219","11,388",          0.90
1144060000,서울특별시 마포구 대흥동,"14,532","8,728",          1.66,"7,037","7,495",          0.94
1144061000,서울특별시 마포구 염리동,"16,829","7,798",          2.16,"8,084","8,745",          0.92
1144063000,서울특별시 마포구 신수동,"22,485","10,021",          2.24,"10,946","11,539",          0.95
1144065500,서울특별시 마포구 서강동,"24,936","12,189",          2.05,"11,896","13,040",          0.91
1144066000,서울특별시 마포구 서교동,"24,854","15,486",          1.60,"11,386","13,468",          0.85
1144068000,서울특별시 마포구 합정동,"17,320","9,580",          1.81,"8,021","9,299",          0.86
1144069000,서울특별시 마포구 망원제1동,"19,988","10,317",          1.94,"9,346","10,642",          0.88
1144070000,서울특별시 마포구 망원제2동,"18,540","8,473",          2.19,"8,688","9,852",          0.88
1144071000,서울특별시 마포구 연남동,"14,900","8,659",          1.72,"7,047","7,853",          0.90
1144072000,서울특별시 마포구 성산제1동,"18,911","9,444",          2.00,"8,911","10,000",          0.89
1144073000,서울특별시 마포구 성산제2동,"39,591","19,369",          2.04,"17,840","21,751",          0.82
1144074000,서울특별시 마포구 상암동,"30,667","12,720",          2.41,"14,536","16,131",          0.90
1147000000,서울특별시 양천구 ,"446,478","181,603",          2.46,"218,786","227,692",          0.96
1147051000,서울특별시 양천구 목1동,"30,664","10,391",          2.95,"14,758","15,906",          0.93
1147052000,서울특별시 양천구 목2동,"29,857","13,417",          2.23,"14,555","15,302",          0.95
1147053000,서울특별시 양천구 목3동,"21,841","10,084",          2.17,"10,405","11,436",          0.91
1147054000,서울특별시 양천구 목4동,"25,316","10,161",          2.49,"12,373","12,943",          0.96
1147055000,서울특별시 양천구 목5동,"41,066","13,451",          3.05,"20,368","20,698",          0.98
1147056000,서울특별시 양천구 신월1동,"20,403","10,255",          1.99,"10,469","9,934",          1.05
1147057000,서울특별시 양천구 신월2동,"20,600","8,467",          2.43,"10,057","10,543",          0.95
1147058000,서울특별시 양천구 신월3동,"15,086","7,913",          1.91,"7,967","7,119",          1.12
1147059000,서울특별시 양천구 신월4동,"17,827","6,871",          2.59,"8,709","9,118",          0.96
1147060000,서울특별시 양천구 신월5동,"14,604","6,478",          2.25,"7,263","7,341",          0.99
1147061000,서울특별시 양천구 신월6동,"13,844","5,348",          2.59,"6,763","7,081",          0.96
1147061100,서울특별시 양천구 신월7동,"19,628","9,181",          2.14,"9,599","10,029",          0.96
1147062000,서울특별시 양천구 신정1동,"20,327","7,092",          2.87,"9,917","10,410",          0.95
1147063000,서울특별시 양천구 신정2동,"19,465","7,015",          2.77,"9,564","9,901",          0.97
1147064000,서울특별시 양천구 신정3동,"49,617","19,427",          2.55,"24,102","25,515",          0.94
1147065000,서울특별시 양천구 신정4동,"32,846","16,302",          2.01,"15,983","16,863",          0.95
1147067000,서울특별시 양천구 신정6동,"24,559","8,284",          2.96,"11,952","12,607",          0.95
1147068000,서울특별시 양천구 신정7동,"28,928","11,466",          2.52,"13,982","14,946",          0.94
1150000000,서울특별시 강서구 ,"573,531","272,216",          2.11,"275,710","297,821",          0.93
1150051000,서울특별시 강서구 염창동,"41,604","16,318",          2.55,"20,098","21,506",          0.93
1150052000,서울특별시 강서구 등촌제1동,"24,322","13,721",          1.77,"11,256","13,066",          0.86
1150053000,서울특별시 강서구 등촌제2동,"20,222","8,684",          2.33,"9,868","10,354",          0.95
1150053500,서울특별시 강서구 등촌제3동,"30,546","15,155",          2.02,"14,432","16,114",          0.90
1150054000,서울특별시 강서구 화곡제1동,"51,915","27,925",          1.86,"25,250","26,665",          0.95
1150055000,서울특별시 강서구 화곡제2동,"17,760","8,201",          2.17,"8,610","9,150",          0.94
1150056000,서울특별시 강서구 화곡제3동,"21,592","9,729",          2.22,"10,300","11,292",          0.91
1150057000,서울특별시 강서구 화곡제4동,"20,484","9,774",          2.10,"10,019","10,465",          0.96
1150059000,서울특별시 강서구 화곡본동,"34,233","17,392",          1.97,"16,582","17,651",          0.94
1150059100,서울특별시 강서구 화곡제6동,"24,952","12,765",          1.95,"12,048","12,904",          0.93
1150059300,서울특별시 강서구 화곡제8동,"24,384","11,886",          2.05,"11,758","12,626",          0.93
1150060300,서울특별시 강서구 가양제1동,"34,099","20,604",          1.65,"15,565","18,534",          0.84
1150060400,서울특별시 강서구 가양제2동,"13,971","8,048",          1.74,"6,610","7,361",          0.90
1150060500,서울특별시 강서구 가양제3동,"14,946","7,886",          1.90,"6,940","8,006",          0.87
1150061100,서울특별시 강서구 발산제1동,"36,273","13,454",          2.70,"17,106","19,167",          0.89
1150061500,서울특별시 강서구 우장산동,"42,803","16,125",          2.65,"20,476","22,327",          0.92
1150062000,서울특별시 강서구 공항동,"30,719","14,065",          2.18,"15,501","15,218",          1.02
1150063000,서울특별시 강서구 방화제1동,"42,734","17,238",          2.48,"20,796","21,938",          0.95
1150064000,서울특별시 강서구 방화제2동,"23,277","11,982",          1.94,"11,494","11,783",          0.98
1150064100,서울특별시 강서구 방화제3동,"22,695","11,264",          2.01,"11,001","11,694",          0.94
1153000000,서울특별시 구로구 ,"396,221","181,612",          2.18,"195,164","201,057",          0.97
1153051000,서울특별시 구로구 신도림동,"36,000","13,809",          2.61,"17,476","18,524",          0.94
1153052000,서울특별시 구로구 구로제1동,"20,768","8,342",          2.49,"10,163","10,605",          0.96
1153053000,서울특별시 구로구 구로제2동,"23,699","12,602",          1.88,"11,931","11,768",          1.01
1153054000,서울특별시 구로구 구로제3동,"23,567","13,457",          1.75,"12,126","11,441",          1.06
1153055000,서울특별시 구로구 구로제4동,"19,629","10,628",          1.85,"9,507","10,122",          0.94
1153056000,서울특별시 구로구 구로제5동,"29,293","15,304",          1.91,"14,201","15,092",          0.94
1153059500,서울특별시 구로구 가리봉동,"9,053","6,110",          1.48,"4,955","4,098",          1.21
1153072000,서울특별시 구로구 고척제1동,"22,214","9,500",          2.34,"11,062","11,152",          0.99
1153073000,서울특별시 구로구 고척제2동,"26,563","11,494",          2.31,"13,164","13,399",          0.98
