지역_위치별(주유소),,,,,,,,,
,,,,,,,,,(단위 : 원/리터)
지역,상호,주소,상표,전화번호,셀프여부,고급휘발유,휘발유,경유,실내등유
서울특별시,타이거주유소,서울 은평구 수색로 188 (증산동),SK에너지,02-309-9145,Y,-,1949,1859,1350
서울특별시,다회주유소,서울 은평구 증산로 441 (신사동),S-OIL,02-375-5156,Y,-,1954,1854,-
서울특별시,불광주유소,서울 은평구 연서로 314 (불광동),현대오일뱅크,02-382-5149,Y,2163,1973,1883,-
서울특별시,성원이앤에스(주)은평지점,서울 은평구 통일로 968 (진관동),GS칼텍스,02-352-4451,Y,2163,1973,1883,-
서울특별시,뉴타운셀프주유소,서울 은평구 통일로 1031,S-OIL,02-355-3055,Y,-,1985,1895,-
서울특별시,지에스칼텍스(주)수색뉴타운주유소,서울 은평구 수색로 350 (수색동),GS칼텍스,02-309-5051,Y,2194,2014,1947,-
서울특별시,박석고개주유소,서울 은평구 통일로 945 (갈현동),SK에너지,02-388-0477,Y,-,2018,1935,-
서울특별시,지에스칼텍스㈜ 서부주유소,서울 은평구 응암로 210 (응암동),GS칼텍스,02-302-6041,Y,2195,2018,1943,1480
서울특별시,현대오일뱅크㈜직영 은평드림주유소,서울 은평구 통일로 1151 (진관동),현대오일뱅크,02-354-5182,N,2234,2018,1935,1600
서울특별시,지에스칼텍스㈜ 신사제일주유소,서울 은평구 증산로 423 (신사동),GS칼텍스,02-308-4333,Y,2195,2018,1943,1480
서울특별시,지에스칼텍스㈜ 녹번주유소,서울 은평구 통일로 600 (녹번동),GS칼텍스,02-385-5002,Y,2195,2018,1943,-
서울특별시,은평뉴타운주유소,서울 은평구 통일로 924 (불광동),SK에너지,02-355-0349,Y,-,2018,1935,1350
서울특별시,(주)명연에너지 수색훼미리주유소,서울 은평구 수색로 236 (수색동),현대오일뱅크,02-374-8770,Y,-,2025,1935,-
서울특별시,제이제이에너지,서울 은평구 응암로 163,SK에너지,02-303-1448,Y,-,2027,1947,-
서울특별시,코끼리주유소,서울 은평구 서오릉로 41 (녹번동),자가상표,02-384-4000,N,-,2048,1998,-
서울특별시,대성산업㈜ 대성주유소,서울 은평구 통일로 642,GS칼텍스,02-355-3434,Y,2248,2068,2019,-
서울특별시,삼융주유소,서울 은평구 수색로 299 (수색동),SK에너지,02-307-3314,N,-,-,-,-
