지역_위치별(주유소),,,,,,,,,
,,,,,,,,,(단위 : 원/리터)
지역,상호,주소,상표,전화번호,셀프여부,고급휘발유,휘발유,경유,실내등유
서울특별시,현대오일뱅크(주)직영 팔레스주유소,서울 서초구 사평대로 136 (반포동),현대오일뱅크,02-720-0020,N,2135,1975,1913,-
서울특별시,신반포주유소,서울 서초구 사평대로 94 (반포동),SK에너지,02-533-5151,N,2138,1978,1918,1300
서울특별시,만남의광장주유소,서울 서초구 양재대로12길 73-71,알뜰(ex),02-573-7430,Y,-,1989,1949,-
서울특별시,한독주유소,서울 서초구 방배로 218 (방배동),GS칼텍스,02-3477-6127,N,2185,1998,1898,-
서울특별시,현대오일뱅크(주)직영 서초제일주유소,서울 서초구 사임당로 116 (서초동),현대오일뱅크,02-587-6080,N,2185,1999,1948,-
서울특별시,현대오일뱅크(주)직영 방배현대주유소,서울 서초구 동작대로 182 (방배동),현대오일뱅크,02-534-0051,N,2145,1999,1938,1550
서울특별시,대신석유(주)대우주유소,서울 서초구 양재대로 173 (양재동),SK에너지,02-572-0567,Y,-,1999,1917,-
서울특별시,에너지플러스허브 삼방주유소,서울 서초구 사평대로 364 (서초동),GS칼텍스,02-536-5145,Y,2171,2008,1885,-
서울특별시,극동유화(주) 전당앞주유소,서울 서초구 남부순환로 2391 (서초동),S-OIL,02-6080-0516,Y,2153,2010,1910,-
서울특별시,(주)대농석유 남태령주유소,서울 서초구 과천대로 838 (방배동),SK에너지,02-587-0895,Y,-,2020,1945,-
서울특별시,(주)한미석유 서초주유소,서울 서초구 반포대로 64 (서초동),GS칼텍스,02-582-5198,N,2185,2022,1895,-
서울특별시,서초꽃마을주유소,서울 서초구 반포대로 69 (서초동),GS칼텍스,02-523-5551,N,2168,2025,1925,-
서울특별시,반포그린주유소,서울 서초구 서초중앙로 239 (반포동),GS칼텍스,02-532-5147,N,2185,2025,1925,-
서울특별시,대성석유(주)연일주유소,서울 서초구 남부순환로 2451,GS칼텍스,02-3471-5151,N,2254,2028,1925,1600
서울특별시,(주)홈런주유소,서울 서초구 양재대로2길 100-30 (우면동),S-OIL,02-577-5151,Y,-,2028,1978,-
서울특별시,에쓰오일(주)직영 오토테크주유소,서울특별시 서초구  효령로 356 (서초동),S-OIL,02-585-5189,Y,2179,2029,1899,-
서울특별시,지에스칼텍스(주)선천주유소,서울 서초구 동작대로 206 (방배동),GS칼텍스,02-592-4915,N,2186,2031,1964,-
서울특별시,태봉셀프주유소,서울 서초구 태봉로 117 (우면동),SK에너지,02-571-8000,Y,-,2035,1945,-
서울특별시,양재주유소,서울 서초구 바우뫼로 178,SK에너지,02-577-1621,N,2184,2047,1950,-
서울특별시,방배동주유소,서울 서초구 효령로 29 (방배동),SK에너지,02-584-2086,N,-,2048,1947,-
서울특별시,현대오일뱅크㈜직영 양재현대주유소,서울 서초구 마방로 6,현대오일뱅크,02-579-8429,N,2184,2062,1965,1600
서울특별시,지에스칼텍스(주)남서울주유소,서울 서초구 나루터로 83 (잠원동),GS칼텍스,02-542-1517,N,2226,2071,1962,1650
서울특별시,지에스칼텍스(주)헌릉로주유소,서울 서초구 헌릉로 177 (내곡동),GS칼텍스,02-574-0828,Y,2228,2073,1976,1658
서울특별시,지에스칼텍스(주)내곡주유소,서울 서초구 헌릉로 210,GS칼텍스,02-573-7878,N,2228,2073,1976,1613
서울특별시,말죽거리주유소,서울 서초구 남부순환로 2650 (양재동),GS칼텍스,02-579-9933,N,-,2074,2034,1655
서울특별시,대성산업(주)직영 강남주유소,서울 서초구 반포대로 284 (반포동),GS칼텍스,02-594-5987,Y,2224,2088,2019,-
서울특별시,현대오일뱅크㈜직영 사평로주유소,서울 서초구 사평대로 350 (서초동),현대오일뱅크,02-3481-2513,N,2270,2089,1991,-
서울특별시,양재최고주유소,서울 서초구 매헌로 72 (양재동),S-OIL,02-2057-5189,N,-,2095,1895,-
서울특별시,대성산업(주)직영 터미널(고속)주유소,서울 서초구 신반포로 222 (반포동),GS칼텍스,02-535-3001,N,2237,2138,2099,1400
서울특별시,크로바주유소,서울 서초구 효령로 327 (서초동),SK에너지,02-586-8100,N,2434,2198,2089,-
서울특별시,대신석유㈜서원주유소,서울 서초구 반포대로 142 (서초동),SK에너지,02-599-3657,N,2338,2238,2138,-
서울특별시,(주)선문에너지 중앙주유소,서울특별시 서초구  바우뫼로 219 (양재1동),S-OIL,02-575-5110,N,2489,2298,2158,1550
서울특별시,선우상사Q엔느,서울 서초구 방배로 66 (방배동),SK에너지,02-581-5101,N,2758,2477,2378,-
