지역_위치별(주유소),,,,,,,,,
,,,,,,,,,(단위 : 원/리터)
지역,상호,주소,상표,전화번호,셀프여부,고급휘발유,휘발유,경유,실내등유
서울특별시,수유동주유소,서울 강북구 도봉로 395 (수유동),GS칼텍스,02-902-9470,Y,-,1989,1889,-
서울특별시,대성석유(주)신광주유소,서울 강북구 삼양로 484,GS칼텍스,02-908-3320,N,-,1995,1895,1500
서울특별시,세원주유소,서울 강북구 한천로 918 (번동),SK에너지,02-907-6890,Y,-,1998,1898,1400
서울특별시,에덴주유소,서울 강북구 월계로 195 (번동),SK에너지,02-987-8182,Y,-,1998,1915,-
서울특별시,덕릉로주유소,서울 강북구 덕릉로 158 (번동),S-OIL,02-989-9806,Y,-,1998,1913,-
서울특별시,SK에너지(주) 매일주유소,서울 강북구 삼양로 217 (미아동),SK에너지,02-982-8855,Y,-,1999,1929,-
서울특별시,㈜지에스이앤알 미아주유소,서울 강북구 도봉로 122 (미아동),GS칼텍스,02-987-5152,Y,2109,1999,1899,-
서울특별시,(주)석산에너지,서울 강북구 삼양로 316 (수유동),현대오일뱅크,02-980-1448,Y,-,1999,1919,1300
서울특별시,북서울고속주유소,서울 강북구 삼양로 410 (수유동),S-OIL,02-907-5182,Y,-,1999,1919,-
서울특별시,(주)서울에너지 시민주유소,서울 강북구 인수봉로 185 (수유동),현대오일뱅크,02-907-9496,N,-,1999,1919,-
서울특별시,현대오일뱅크㈜직영 새한셀프주유소,서울 강북구 도봉로 75,현대오일뱅크,02-985-4382,Y,2175,2009,1919,-
서울특별시,현대오일뱅크(주)직영 번동셀프주유소,서울 강북구 한천로 963 (번동),현대오일뱅크,02-992-3331,Y,2175,2009,1919,-
서울특별시,씨앤에스에너지㈜ 미아셀프주유소,서울 강북구 도봉로 200 (미아동),S-OIL,02-945-7999,Y,-,2025,1925,-
