지역_위치별(주유소),,,,,,,,,
,,,,,,,,,(단위 : 원/리터)
지역,상호,주소,상표,전화번호,셀프여부,고급휘발유,휘발유,경유,실내등유
서울특별시,현대오일뱅크(주)직영 산성셀프주유소,서울 강남구 헌릉로 730,현대오일뱅크,0222264963,Y,2140,1955,1900,
서울특별시,(주)보성 세곡주유소,서울 강남구  헌릉로 731 (세곡동),SK에너지,024456870,Y,,1955,1900,
서울특별시,방죽주유소,서울 강남구 밤고개로 215 (율현동),GS칼텍스,024593434,Y,,1987,1919,
서울특별시,에스제이에너지산업(주) 개포주유소,서울 강남구 양재대로 339,GS칼텍스,025739031,N,2335,2028,1928,1650
서울특별시,자곡셀프주유소,서울 강남구 밤고개로 120 (자곡동),SK에너지,024455841,Y,,2038,1981,
서울특별시,일원주유소,서울 강남구 양재대로55길 3 (일원동),SOIL,0222265188,Y,,2038,1981,1600
서울특별시,대교주유소,서울 강남구 강남대로 640 (신사동),SK에너지,025125521,N,2200,2040,1940,
서울특별시,SK서광주유소,서울 강남구 역삼로 142,SK에너지,025624855,Y,2195,2045,1995,
서울특별시,오일프러스 셀프,서울 강남구 남부순환로 2651 (도곡동),SK에너지,0234625100,Y,2199,2047,1995,
서울특별시,현대오일뱅크 도곡셀프주유소,서울 강남구  남부순환로 2718 (도곡2동),현대오일뱅크,025295101,Y,2184,2047,1950,
서울특별시,지에스칼텍스㈜에너지플러스허브GS타워,서울 강남구 논현로 516 (역삼동),GS칼텍스,025395145,N,2212,2052,1933,
서울특별시,(주)중앙에너비스 수서지점,서울 강남구 광평로 202 (수서동),SK에너지,07087074582,Y,2225,2055,1995,
서울특별시,현대오일뱅크(주) 유진주유소,서울 강남구 논현로 152 (도곡동),현대오일뱅크,0234625215,N,2184,2062,1965,1700
서울특별시,(주)선진도곡주유소,서울 강남구 도곡로 162 (도곡동),SOIL,0220583024,N,2239,2079,1969,
서울특별시,SK에너지㈜ 진달래주유소,서울 강남구 도곡로 208,SK에너지,0234620018,N,2199,2079,2039,
서울특별시,에쓰오일㈜직영 개나리주유소,서울 강남구 언주로 423 (역삼동),SOIL,025640187,N,2239,2089,1969,
서울특별시,SK에너지(주) 매봉주유소,서울 강남구 언주로 307,SK에너지,025565510,Y,2214,2089,2049,
서울특별시,대동석유 압구정주유소,서울 강남구 언주로 842 (신사동),SK에너지,025456161,Y,2227,2097,1987,
서울특별시,(유)동하석유 힐탑셀프주유소,서울 강남구 논현로 640,SK에너지,025444075,Y,2227,2097,1997,
서울특별시,현대오일뱅크㈜직영 삼성동주유소,서울 강남구 테헤란로 619 (삼성동),현대오일뱅크,025086572,N,2194,2108,2024,
서울특별시,지에스칼텍스㈜ 은마주유소,서울 강남구 영동대로 235,GS칼텍스,0234521882,N,2308,2158,2064,
서울특별시,현대오일뱅크(주)직영 신사현대주유소,서울 강남구 도산대로 163 (신사동),현대오일뱅크,025462182,N,2448,2194,2097,
서울특별시,현대오일뱅크(주)직영 한양주유소,서울 강남구 압구정로 302 (신사동),현대오일뱅크,0234440804,N,2335,2194,2097,
서울특별시,지에스칼텍스㈜ 삼성로주유소,서울 강남구 삼성로 563 (삼성동),GS칼텍스,025385138,Y,2378,2228,2125,
서울특별시,명품주유소,서울 강남구 도곡로 249 (역삼동),SOIL,025011256,N,2374,2239,2152,
서울특별시,대성석유(주)동호주유소,서울 강남구 봉은사로113길 51,GS칼텍스,025450720,N,2343,2243,2049,
서울특별시,㈜새서울석유 새서울주유소,서울 강남구 압구정로 154,현대오일뱅크,025431154,N,2467,2288,2158,
서울특별시,대청주유소,서울 강남구 개포로 654 (일원동),SK에너지,024455500,N,2499,2296,2156,1656
서울특별시,지에스칼텍스(주)학여울주유소,서울 강남구 남부순환로 3170 (일원2동),GS칼텍스,024598829,N,2584,2329,2242,
서울특별시,SK논현주유소,서울 강남구 논현로 747 (논현동),SK에너지,025110955,N,2580,2380,2160,1655
서울특별시,갤러리아주유소,서울 강남구 압구정로 426,SK에너지,025404965,N,2580,2393,2160,1600
서울특별시,(주)소모에너지 쎈트럴주유소,서울 강남구 삼성로 335,GS칼텍스,025650267,N,2583,2394,2162,1300
서울특별시,(주)만정에너지,서울 강남구 봉은사로 433 (삼성동),GS칼텍스,025185141,N,2598,2398,2164,1699
서울특별시,제이제이주유소,서울 강남구 언주로 716,현대오일뱅크,025185631,N,2715,2545,2335,
서울특별시,경원주유소,서울 강남구 도산대로 428 (청담동),SOIL,025171957,N,,,,
서울특별시,삼성주유소,서울 강남구 삼성로 521 (삼성동),SK에너지,025380809,N,,,,
서울특별시,동우주유소,서울특별시 강남구  봉은사로 311 (논현동),SK에너지,025426726,N,,,,
