지역_위치별(주유소),,,,,,,,,
,,,,,,,,,(단위 : 원/리터)
지역,상호,주소,상표,전화번호,셀프여부,고급휘발유,휘발유,경유,실내등유
서울특별시,구천면주유소,서울 강동구 구천면로 357 (암사동),현대오일뱅크,02-441-0536,N,,1993,1887,
서울특별시,(주)퍼스트오일 코알라주유소,서울특별시 강동구  올림픽로 556 (성내동),S-OIL,02-484-1162,Y,,,1898,
서울특별시,지에스칼텍스㈜ 신월주유소,서울 강동구 양재대로 1323 (성내동),GS칼텍스,02-475-2600,N,2168,2018,1909,1500
서울특별시,대성석유(주)길동주유소,서울 강동구 천호대로 1168,GS칼텍스,02-474-7222,N,2214,2025,1899,1600
서울특별시,재건에너지 재정제2주유소 고속셀프지점,서울특별시 강동구  천호대로 1246 (둔촌제2동),현대오일뱅크,02-487-2030,Y,,2035,1945,
서울특별시,(주)삼표에너지 고덕주유소,서울 강동구 고덕로 39 (암사동),GS칼텍스,02-441-3327,N,2248,2048,1948,1723
서울특별시,현대오일뱅크㈜직영 명일셀프주유소,서울 강동구 고덕로 168 (명일동),현대오일뱅크,02-3428-1739,Y,2173,,1999,
서울특별시,주)지유에너지직영 오렌지주유소,서울 강동구 성안로 102 (성내동),SK에너지,02-484-6165,N,,2062,1972,1492
서울특별시,방아다리주유소,서울 강동구 동남로 811 (명일동),SK에너지,02-442-5145,Y,-,2065,1975,1450
서울특별시,지에스칼텍스㈜ 동서울주유소,서울 강동구 천호대로 1456 (상일동),GS칼텍스,02-426-5372,Y,,2065,1975,
서울특별시,sk해뜨는주유소,서울 강동구  상일로 132 (강일동),SK에너지,02-442-7801,Y,-,2065,1975,1600
서울특별시,(주)소모에너지 성내주유소,서울 강동구 올림픽로 578 (성내동),GS칼텍스,02-479-3838,Y,,2098,1998,
서울특별시,천호현대주유소,서울 강동구 천중로 67 (천호동),현대오일뱅크,02-484-9323,N,,2172,2099,
서울특별시,광성주유소,서울 강동구 올림픽로 673 (천호동),S-OIL,02-470-5133,N,,2298,,1800
