지역_위치별(주유소),,,,,,,,,
,,,,,,,,,(단위 : 원/리터)
지역,상호,주소,상표,전화번호,셀프여부,고급휘발유,휘발유,경유,실내등유
서울특별시,아시아주유소,서울 송파구 도곡로 438 (잠실동),GS칼텍스,02-416-1911,Y,2165,1978,1878,-
서울특별시,삼화주유소,서울 송파구 백제고분로 125,GS칼텍스,02-2203-2280,Y,2165,1978,1878,-
서울특별시,(주)잠실에너지,서울 송파구 송파대로 442 (송파동),S-OIL,02-414-5010,Y,2100,1985,1854,-
서울특별시,현대오일뱅크㈜직영 잠실셀프주유소,서울 송파구 송파대로 397 (석촌동),현대오일뱅크,02-417-7111,Y,2140,1985,1894,1440
서울특별시,(주)삼표에너지 훼미리주유소,서울 송파구 중대로 58 (문정동),GS칼텍스,02-448-9252,N,2118,1988,1868,1640
서울특별시,위례드림주유소,서울시 송파구  위례중앙로 10,S-OIL,02-404-5189,Y,2104,1993,1849,-
서울특별시,지에스칼텍스(주)스마트위례주유소,서울 송파구 위례중앙로 43 (장지동),GS칼텍스,02-409-5185,Y,2104,1993,1849,-
서울특별시,지에스칼텍스(주)가든파이브주유소,서울 송파구 탄천동로 740,GS칼텍스,02-409-5145,Y,2104,1993,1849,-
서울특별시,현대오일뱅크㈜직영 올림픽셀프주유소,서울 송파구 위례성대로 188 (오금동),현대오일뱅크,02-448-9804,Y,2186,1993,1904,-
서울특별시,남성대주유소,서울 송파구 송파대로 52 (장지동),SK에너지,02-409-2211,Y,-,1993,1943,-
서울특별시,위례제일주유소,서울 송파구 위례서로 260,S-OIL,02-408-9951,Y,-,1993,1884,-
서울특별시,상아주유소,서울 송파구 거마로 82,S-OIL,02-409-8251,Y,-,1993,1884,1350
서울특별시,백제고분로주유소,서울 송파구 오금로 143 (방이동),SK에너지,02-2202-4050,Y,2195,1997,1898,-
서울특별시,제트라인DM주유소,서울 송파구 중대로 183 (가락동),현대오일뱅크,02-430-5151,N,-,1998,1912,-
서울특별시,(주)퍼스트오일서울주유소,서울 송파구 문정로 153,S-OIL,02-407-0708,N,-,1998,1898,1400
서울특별시,(주)유진주유소,서울 송파구 동남로 325 (오금동),SK에너지,02-406-3956,N,-,1998,1912,-
서울특별시,완불주유소,서울 송파구 송파대로 3 (장지동),SK에너지,02-3402-2900,Y,2265,1998,1943,-
서울특별시,대성주유소,서울 송파구 마천로 230 (마천동),SK에너지,02-431-1991,N,-,1998,1888,1298
서울특별시,(주)남경석유 세영주유소,서울 송파구 동남로 298,GS칼텍스,02-406-7778,N,-,1999,1879,-
서울특별시,현대오일뱅크㈜직영 서원주유소,서울 송파구 중대로 154 (가락동),현대오일뱅크,02-402-5929,N,2199,2023,1942,1475
서울특별시,(주)삼표에너지 우리주유소,서울 송파구 동남로 153,GS칼텍스,02-3401-1588,N,2195,2025,1915,1500
서울특별시,대성석유(주)석촌주유소,서울 송파구 백제고분로 289,GS칼텍스,02-421-0051,N,2217,2027,1909,1600
서울특별시,삼전셀프주유소,서울 송파구 백제고분로 199,SK에너지,02-420-5101,Y,2195,2027,1909,-
서울특별시,방이주유소,서울 송파구 위례성대로12길 38 (방이동),SK에너지,02-424-3051,N,-,2027,1937,-
서울특별시,송파주유소,서울 송파구 송이로 28 (송파동),GS칼텍스,02-2203-3737,Y,-,2027,1943,1500
서울특별시,현대오일뱅크㈜직영 거여셀프주유소,서울 송파구 거마로 5 (거여동),현대오일뱅크,02-409-9836,Y,2146,2028,1908,-
서울특별시,(주)정직한주유소,서울 송파구 오금로 455 (거여동),현대오일뱅크,02-406-4634,Y,-,2028,1908,-
서울특별시,지에스이앤알 직영 송파제일주유소,서울 송파구 삼학사로 50 (석촌동),현대오일뱅크,02-424-2900,Y,-,2028,1938,-
서울특별시,(주)신화에너지 서울지점,서울 송파구 가락로 47 (석촌동),SK에너지,02-2202-8484,Y,-,2055,1945,1350
서울특별시,한강에너지(주)퍼스트주유소,서울 송파구 삼학사로 22 (석촌동),SK에너지,02-422-2834,Y,2195,2055,1995,-
서울특별시,(주)뉴명성산업 남성주유소,서울 송파구 백제고분로 474 (방이동),현대오일뱅크,02-423-5128,N,-,2089,1994,-
서울특별시,대신석유(주)진양주유소,서울 송파구 올림픽로 499 (풍납동),SK에너지,02-477-1906,N,2248,2148,2048,-
